╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лO╔]жwдпи╜│╗┤фдlсY31~60╕╣,7.73,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050619,дgжa2л╪кл1иожь0,дG╝h,дн╝h,оMй╨(1й╨1╞U1╜├),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0940815,15.37,0,0,0,╡L,╡L,420000,27326,,0.0,0,,RPUNMLNKPHLFFDQ17CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лO╔]жwдпи╜│╗┤фдlсY31~60╕╣,8.07,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050619,дgжa2л╪кл1иожь0,дG╝h,дн╝h,оMй╨(1й╨1╞U1╜├),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0940815,16.15,0,0,0,╡L,╡L,420000,26006,,0.0,0,,SPUNMLNKPHLFFDQ27CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лO╔]жwдпи╜│╗┤фдlсY31~60╕╣,8.07,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050619,дgжa2л╪кл1иожь0,дG╝h,дн╝h,оMй╨(1й╨1╞U1╜├),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0940815,16.15,0,0,0,╡L,╡L,420000,26006,,0.0,0,,RPVNMLNKPHLFFDQ27CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лO╔]жwдпи╜│╗┤фдlсY31~60╕╣,8.07,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050619,дgжa2л╪кл1иожь0,дG╝h,дн╝h,оMй╨(1й╨1╞U1╜├),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0940815,16.15,0,0,0,╡L,╡L,420000,26006,,0.0,0,,SPVNMLNKPHLFFDQ37CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m┬эе_з°къз└╝d1~30╕╣,120.67,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050627,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0880322,183.23,4,2,4,ж│,╡L,3800000,20739,,0.0,0,,RPRNMLMLPHLFFCQ76CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°7╛F╖╦й│╝d1~30╕╣,68.08,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050628,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0821230,133.56,4,2,3,ж│,╡L,3700000,27703,,0.0,0,,RPPNMLNLPHLFFCQ66CA
е┴╢п╢m,й╨жa(дgжa+л╪кл)+иожь,╣┼╕q┐де┴╢п╢mкF║aз°4╛Fдд╔▄91~120╕╣,14.71,жэ,,,1050613,дgжa1л╪кл1иожь0,дT╝h,дE╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0880303,135.06,3,2,2,ж│,ж│,3100000,22953,йY╣D╛ў▒ё,0.0,0,,RPWNMLLLPHLFFCQ17CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mдх╢йз°└nе└?1~30╕╣,129.2,жэ,,,1050609,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040521,224.81,4,2,3,ж│,╡L,11000000,48930,,0.0,0,,RPOOMLRJPHLFFCQ86CA
╖s┤ф╢m,дgжa,дT╢бнэмq511~540жa╕╣,8046.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050609,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,10057500,1250,,0.0,0,,RPXNMLNJQHLFFCQ37CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mкў┐│з°е▀╝w╡є91~120╕╣,99.76,жэ,,,1050621,дgжa2л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0700212,101.1,4,2,2,ж│,╡L,3900000,38576,,0.0,0,,RPTNMLSLPHLFFCQ57CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mмh╢mз°мhдlкL121~150╕╣,78.77,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050617,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1031006,148.84,4,2,2,ж│,╡L,4500000,30234,,0.0,0,,RPUNMLQJPHLFFDQ37CA
ддоH╢m,дgжa,ж╦└Y▒Tмq301~330жa╕╣,2055.5,,дsйYжaлOи|░╧,╣Aкке╬жa,1050519,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,100000,49,,0.0,0,,RPTNMLLKPHLFFDQ86CA
кFе█╢m,дgжa,┤фсYмq┤фсYдpмq331~360жa╕╣,1912.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1050625,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,5000000,2615,,0.0,0,,RPPNMLOLPHLFFBQ66CA
╕qж╦╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐д╕qж╦╢m╕qдuдT╕Ї1~30╕╣,3666.0,,дu╖~░╧,дB║╪л╪┐vе╬жa,1050506,дgжa2л╪кл4иожь0,д@╝hбAдG╝h,дG╝h,дu╝t,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,0951212,2188.45,0,0,0,╡L,╡L,47500000,,,0.0,0,,RPSNMLNKPHLFFBQ76CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mдх╢йз°└nе└?1~30╕╣,93.4,жэ,,,1050609,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1040521,189.36,4,2,3,ж│,╡L,8000000,42248,,0.0,0,,RPWNMLLKPHLFFCQ07CA
е┴╢п╢m,дgжa,жnжммqж╦│Єлсдpмq1051~1080жa╕╣,7629.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050628,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,15456900,2026,,0.0,0,,RPRNMLLKPHLFFCQ56CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эддкLи╜21╛FдU╝цй│1~30╕╣,13167.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050325,дgжa1л╪кл1иожь0,д@╝h,д@╝h,ифеL,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,0960208,10833.6,0,0,0,╡L,╡L,45000000,4154,,0.0,0,1.жaдWл╪клм░╖┼л╟╗P╣A╖~╕ъзўл╟,RPPNMLQJPHLFFCQ76CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mкQдsз°15╛Fе▀е■╖sз°271~300╕╣,81.51,жэ,,,1050617,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0850124,94.84,3,2,3,ж│,╡L,2750000,28996,,0.0,0,,RPTNMLRJPHLFFCQ27CA
╖s┤ф╢m,дgжa,еjе┴мq╖sе┴дpмq661~690жa╕╣,24.0,жэ,,,1050602,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,610000,25417,,0.0,0,,RPUNMLRJPHLFFCQ37CA
╖s┤ф╢m,дgжa,еjе┴мq╖sе┴дpмq661~690жa╕╣,1.0,жэ,,,1050602,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,26000,0,,0.0,0,,RPVNMLRJPHLFFCQ47CA
╕qж╦╢m,дgжa,лс┬эмqлс┬эдpмq31~60жa╕╣,1918.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050702,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1300000,678,,0.0,0,,RPPNMLLKPHLFFBQ88CA
╕qж╦╢m,дgжa,╖╦мwмq╖╦мwдpмq811~840жa╕╣,1067.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050629,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,800000,750,,0.0,0,,RPQNMLLKPHLFFBQ98CA
д╗╕}╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╗╕}╢m╞Wлnз°╞Wд║91~120╕╣,320.07,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050524,дgжa5л╪кл1иожь0,,д@╝h,ифеL,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одgе[▒j┐j│y,0800727,170.37,4,1,1,ж│,╡L,4500000,26413,,0.0,0,,RPRNMLLKPHLFFBQ09CA
д╗╕}╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╗╕}╢m▒[дl151~180╕╣,93.99,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050620,дgжa2л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0681231,111.2,4,2,2,ж│,╡L,872935,7850,,0.0,0,,RPQNMLRJPHLFFBQ86CA
╕qж╦╢m,дgжa,╖sй▒мq451~480жa╕╣,85.67,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050624,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,300000,3502,,0.0,0,,RPUNMLLKPHLFFBQ76CA
ем│U┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐дем│U┬э╖sжш╕Ї211~240╕╣,90.0,жэ,,,1050613,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0820804,124.37,4,2,2,ж│,╡L,2308000,18558,,0.0,0,,RPQNMLNKPHLFFBQ56CA
╕qж╦╢m,дgжa,╣L╕Їдlмq╣L╕Їдpмq1021~1050жa╕╣,2805.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050525,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1000000,357,,0.0,0,,RPQNMLSKPHLFFBQ07CA
е┴╢п╢m,дgжa,е┴дхмq361~390жa╕╣,74.01,жэ,,,1050602,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,400000,5405,,0.0,0,,RPXNMLRJPHLFFCQ67CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелж╡дlдT╕Ї169л╤1~30╕╣,5.55,жэ,,,1050625,дgжa1л╪кл1иожь0,е|╝h,дQ╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0941003,17.73,1,0,1,ж│,ж│,635000,35815,,0.0,0,,RPPNMLNJQHLFFBQ09CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лO╔]е_╖sи╜дддs╕Їд@мq228л╤1~30╕╣,20.41,жэ,,,1050616,дgжa1л╪кл1иожь0,дE╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0840908,96.59,4,2,2,ж│,ж│,3060000,31680,,0.0,0,,RPTNMLMKPHLFFDQ96CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mкў┐│з°12╛F┤fжw╡є47л╤1~30╕╣,80.44,жэ,,,1050604,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0701217,102.79,4,2,2,ж│,╡L,2500000,24321,,0.0,0,,RPRNMLPKPHLFFCQ96CA
╖s┤ф╢m,дgжa,┤фжшмq991~1020жa╕╣,177.0,жэ,,,1050613,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4800000,27119,,0.0,0,е╗╢R╜цо╫еєлY─▌дG┐╦╡е╢бпSоэецйЎбAифецйЎ╗∙оцеiпр▓зйєел│їе┐▒`ецйЎ╗∙оцбC,RPQNMLMKPHLFFCQ56CA
╖s┤ф╢m,дgжa,ддмvдlмq301~330жa╕╣,74.75,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050531,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,336375,4500,,0.0,0,е╗╢R╜цо╫еєлY─▌дG┐╦╡е╢бпSоэецйЎбAифецйЎ╗∙оцеiпр▓зйєел│їе┐▒`ецйЎ╗∙оцбC,RPRNMLMKPHLFFCQ66CA
╡f╕Ї╢m,дgжa,д╜е╨мq31~60жa╕╣,388.0,,┤╦кL░╧,д■║╪л╪┐vе╬жa,1050620,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,460000,1186,,0.0,0,,RPRNMLMKPHLFFEQ86CA
▒Ўдs╢m,дgжa,└s▓┤кLмq241~270жa╕╣,5099.33,,дsйYжaлOи|░╧,кL╖~е╬жa,1050629,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,900000,176,,0.0,0,┐╦д═пSоэ├ЎлY╢бдзецйЎбC╗∙кўзtжaдWкл,RPPNMLOKPHLFFEQ86CA
╡f╕Ї╢m,дgжa,д║┬|мq661~690жa╕╣,209.0,╣A,,,1050621,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,574750,2750,,0.0,0,еx╣q┼K╢Ёе╬жaбC,RPPNMLLKPHLFFEQ56CA
╡f╕Ї╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐д╡f╕Ї╢mж┐жшз°4╛FмUеJ╕}1~30╕╣,146.11,жэ,,,1050619,дgжa7л╪кл1иожь0,е■,дн╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0851004,213.68,5,2,4,ж│,╡L,5000000,23399,,0.0,0,,RPPNMLOLPHLFFEQ96CA
╖╦дf╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐д╖╦дf╢m╖╦кFз°1╛Fе┴е═╕Ї31л╤1~30╕╣,89.39,жэ,,,1050602,дgжa2л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0660131,99.46,3,2,2,ж│,╡L,841325,8459,,0.0,0,дўдl╢бдзецйЎбC,RPUNMLMKPHLFFCQ17EA
дЇдW╢m,дgжa,дд╔▄мq361~390жa╕╣,3478.76,,пSйw╣A╖~░╧,╣Aкке╬жa,1050616,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,5000000,1437,,0.0,0,,RPXNMLOKPHLFFDQ67DA
│└пє╢m,дgжa,дU╝цмq1~30жa╕╣,113.21,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050628,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,305000,2694,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPQNMLOJQHLFFDQ96DA
╖╦дf╢m,дgжa,мhдl╖╛мqмh╖╛дpмq211~240жa╕╣,3742.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050624,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4629600,1237,,0.0,0,,RPSNMLMKPHLFFCQ96EA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эенкLи╜▓°╖q╡є176л╤1~30╕╣,27.57,жэ,,,1050624,дgжa5л╪кл2иожь0,дT╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0720312,70.67,3,1,2,ж│,╡L,1650000,23348,,0.0,0,,RPVNMLMKPHLFFCQ27EA
е┴╢п╢m,дgжa,л╪░ъмq1261~1290жa╕╣,98.96,жэ,,,1050624,дgжa6л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1496750,15125,,0.0,0,,RPTNMLNKPHLFFCQ17EA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mдЇ└Yз°ддйM╕Ї240л╤31~60╕╣,74.49,жэ,,,1050607,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0730116,88.71,2,1,1,ж│,╡L,2650000,29873,,0.0,0,,RPSNMLMKPHLFFDQ96DA
│└пє╢m,дgжa,лс╝dмqлс╝dдpмq211~240жa╕╣,3250.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050707,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4100000,1262,,0.0,0,,RPRNMLNKPHLFFDQ96DA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlеллn│q╕ЇдTмq691~720╕╣,142.0,жэ,,,1050627,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэ░╙е╬,игифеL╡n░Oи╞╢╡,0480903,129.38,4,2,1,ж│,╡L,12000000,92750,,0.0,0,,RPPNMLTKPHLFFBQ17DA
дjкL┬э,дgжa,дЇ└Yмq1591~1620жa╕╣,2811.14,,пSйw╣A╖~░╧,╣Aкке╬жa,1050629,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2800000,996,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPTNMLMKPHLFFCQ86CA
е┴╢п╢m,иожь,╣┼╕q┐де┴╢п╢m┐│лnз°18╛F└Y╛Ї751~780╕╣,0.0,,,,1050617,дgжa0л╪кл0иожь1,,,ифеL,,,,25.31,0,0,0,ж│,╡L,220000,,йY╣Dенн▒,0.0,220000,,RPWNMLMKPHLFFCQ17CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эдTз°и╜┤Єдl1~30╕╣,37.5,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1050630,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0851223,67.72,5,2,3,ж│,╡L,2000000,29533,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPQNMLNKPHLFFCQ66CA
ддоH╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дддоH╢mддоHз°6╛FддоH20л╤61~90╕╣,86.92,жэ,,,1050621,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одgе[▒j┐j│y,0700225,110.53,4,1,2,ж│,╡L,2800000,25332,,0.0,0,,RPUNMLMKPHLFFDQ07CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лO╔]│┬╝dи╜дддs╕ЇдGмq151~180╕╣,86.12,жэ,,,1050616,дgжa3л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0810821,203.34,4,2,3,ж│,╡L,8900000,43769,,0.0,0,,RPVNMLMKPHLFFDQ17CA
дЇдW╢m,дgжa,дj╘│з└мqдj╘│дpмq241~270жa╕╣,807.75,,пSйw╣A╖~░╧,╣Aкке╬жa,1050608,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1400000,1733,,0.0,0,┐╦д═╢бж@ж│л∙д└дgжaдзецйЎбC,RPVNMLOKPHLFFDQ37CA
ддоH╢m,дgжa,к└дfмq151~180жa╕╣,5520.0,,дsйYжaлOи|░╧,╣Aкке╬жa,1050613,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2100000,380,,0.0,0,,RPTNMLPKPHLFFDQ27CA
ддоH╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дддоH╢m╢й┐│з°┤ЄеJнэ1~30╕╣,127.89,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050629,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0840426,150.56,4,2,3,ж│,╡L,3000000,19926,,0.0,0,,RPTNMLTLPHLFFDQ77CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mдj▒[з°20╛Fдj▒[151~180╕╣,16265.0,,пSйw╣A╖~░╧,дB║╪л╪┐vе╬жa,1050622,дgжa7л╪кл7иожь0,д@╝h,д@╝h,╝t┐ь,дu╖~е╬,┐√│y,0811109,9559.17,0,0,0,╡L,╡L,240000000,25107,,0.0,0,,RPTNMLOJQHLFFDQ17CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лO╔]д╙лOи╜5╛Fд╙лO91~120╕╣,91.0,жэ,,,1050624,дgжa1л╪кл1иожь0,д@╝hбAдG╝hбAдT╝hбA├M╝╙,дT╝h,й▒н▒(й▒╛Q),жэ░╙е╬,┐√╡м▓V╛одg│y,0810407,161.64,3,2,3,ж│,╡L,2780000,17199,,0.0,0,,RPRNMLMLPHLFFDQ86CA
╕qж╦╢m,дgжa,░ёдl└Yмq361~390жa╕╣,43.75,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050525,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,200000,4571,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPXNMLSKPHLFFBQ77CA
е┴╢п╢m,дgжa,│╗╝dмq│╗╝dдpмq181~210жa╕╣,1288.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050525,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3116960,2420,,0.0,0,,RPPNMLMKPHLFFCQ09CA
ем│U┬э,дgжa,ж╥╕╒╝цмq│└жwдpмq271~300жa╕╣,142.4,,д@пы╣A╖~░╧,╣Aкке╬жa,1050628,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,30000,211,,0.0,0,┐╦▒н╢бпSоэ├ЎлY╢бдзецйЎеBдgжa╝Wн╚╡|╡е╢Oе╬збе╤╢Rдшнt╛с,RPVNMLOKPHLFFBQ17CA
ем│U┬э,дgжa,дEж┐мq601~630жa╕╣,63.11,жэ,,,1050410,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,700000,11092,,0.0,0,зtе╝лOжsл╪кл,RPRNMLMKPHLFFBQ56CA
ж╡дlел,дgжa,╖s╔▄мq╖s╔▄дpмq61~90жa╕╣,2912.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050628,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1892800,650,,0.0,0,,RPSNMLMKPHLFFBQ66CA
д╗╕}╢m,дgжa,ж╦дl╕}мq721~750жa╕╣,449.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050622,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2007048,4470,,0.0,0,│беўн▒┐nм∙7йW▓{д╜▓│╣D╕Ї│qжц,RPRNMLNKPHLFFBQ66CA
╕qж╦╢m,дgжa,д╗о█мq1081~1110жa╕╣,89.67,жэ,,,1050615,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,968436,10800,,0.0,0,,RPSNMLSKPHLFFBQ27CA
╕qж╦╢m,дgжa,д╗о█мq1081~1110жa╕╣,76.45,жэ,,,1050615,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,825660,10800,,0.0,0,,RPTNMLSKPHLFFBQ37CA
ем│U┬э,дgжa,о╢╝dмq391~420жa╕╣,2466.8,жэ,,,1050620,дgжa8л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7462100,3025,,0.0,0,╖х▓лклеєдзецйЎбC,RPQNMLLJQHLFFBQ98CA
ддоH╢m,дgжa,╞W╝цдlмq361~390жa╕╣,3882.0,,дsйYжaлOи|░╧,╣Aкке╬жa,1050701,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,620000,160,,0.0,0,жь╕m░╛╗ўбA╡L╣яе~┴p╡╕╣D╕ЇбA─щдь┬Oе═бC,RPRNMLOKPHLFFDQ96CA
ддоH╢m,дgжa,╞W╝цдlмq181~210жa╕╣,5.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050617,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,18350,3670,,0.0,0,,RPUNMLKLPHLFFDQ96CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢m│┬╝dи╜дTжX╕Ї298л╤5з╦1~30╕╣,108.87,жэ,,,1050624,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0940303,127.96,4,2,2,ж│,╡L,3900000,30478,,0.0,0,,RPQNMLLLPHLFFDQ66CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mжшжwз°7╛F┤_┐│╕Ї151~180╕╣,83.0,жэ,,,1050618,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0780331,163.25,6,0,4,ж│,╡L,7200000,44104,,0.0,0,,RPVNMLPKPHLFFCQ37CA
╖s┤ф╢m,дgжa,лсй│┤Ємq181~210жa╕╣,8.96,,пSйw╣A╖~░╧,╣Aкке╬жa,1050704,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,30000,3348,,0.0,0,╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC,RPVNMLNKPHLFFCQ27DA
дjкL┬э,дgжa,кLдlлeмqдTйMдpмq301~330жa╕╣,1998.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1050622,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3000000,1502,,0.0,0,,RPVNMLOKPHLFFCQ37DA
